start_time,request_type,latency,response_code
2021-10-10 00:45:18.584,POST,70,201
2021-10-10 00:45:18.654,POST,72,201
2021-10-10 00:45:18.726,POST,72,201
2021-10-10 00:45:18.798,POST,72,201
2021-10-10 00:45:18.87,POST,70,201
2021-10-10 00:45:18.94,POST,71,201
2021-10-10 00:45:19.011,POST,70,201
2021-10-10 00:45:19.081,POST,71,201
2021-10-10 00:45:19.152,POST,71,201
2021-10-10 00:45:19.223,POST,71,201
2021-10-10 00:45:19.294,POST,71,201
2021-10-10 00:45:19.365,POST,72,201
2021-10-10 00:45:19.437,POST,71,201
2021-10-10 00:45:19.508,POST,71,201
2021-10-10 00:45:19.579,POST,73,201
2021-10-10 00:45:19.652,POST,71,201
2021-10-10 00:45:19.723,POST,69,201
2021-10-10 00:45:19.792,POST,71,201
2021-10-10 00:45:19.863,POST,71,201
2021-10-10 00:45:19.934,POST,71,201
2021-10-10 00:45:20.005,POST,70,201
2021-10-10 00:45:20.075,POST,72,201
2021-10-10 00:45:20.147,POST,71,201
2021-10-10 00:45:20.218,POST,70,201
2021-10-10 00:45:20.288,POST,71,201
2021-10-10 00:45:20.359,POST,69,201
2021-10-10 00:45:20.428,POST,74,201
2021-10-10 00:45:20.502,POST,72,201
2021-10-10 00:45:20.574,POST,73,201
2021-10-10 00:45:20.647,POST,71,201
2021-10-10 00:45:20.718,POST,69,201
2021-10-10 00:45:20.787,POST,70,201
2021-10-10 00:45:20.858,POST,69,201
2021-10-10 00:45:20.927,POST,70,201
2021-10-10 00:45:20.997,POST,70,201
2021-10-10 00:45:21.067,POST,70,201
2021-10-10 00:45:21.137,POST,72,201
2021-10-10 00:45:21.209,POST,71,201
2021-10-10 00:45:21.28,POST,70,201
2021-10-10 00:45:21.35,POST,70,201
2021-10-10 00:45:21.42,POST,70,201
2021-10-10 00:45:21.49,POST,73,201
2021-10-10 00:45:21.563,POST,71,201
2021-10-10 00:45:21.634,POST,70,201
2021-10-10 00:45:21.704,POST,70,201
2021-10-10 00:45:21.774,POST,71,201
2021-10-10 00:45:21.846,POST,70,201
2021-10-10 00:45:21.916,POST,70,201
2021-10-10 00:45:21.986,POST,71,201
2021-10-10 00:45:22.057,POST,70,201
2021-10-10 00:45:22.127,POST,71,201
2021-10-10 00:45:22.198,POST,71,201
2021-10-10 00:45:22.269,POST,69,201
2021-10-10 00:45:22.338,POST,71,201
2021-10-10 00:45:22.409,POST,73,201
2021-10-10 00:45:22.482,POST,70,201
2021-10-10 00:45:22.552,POST,71,201
2021-10-10 00:45:22.623,POST,73,201
2021-10-10 00:45:22.696,POST,70,201
2021-10-10 00:45:22.766,POST,72,201
2021-10-10 00:45:22.838,POST,70,201
2021-10-10 00:45:22.908,POST,71,201
2021-10-10 00:45:22.979,POST,69,201
2021-10-10 00:45:23.048,POST,71,201
2021-10-10 00:45:23.119,POST,70,201
2021-10-10 00:45:23.189,POST,70,201
2021-10-10 00:45:23.259,POST,72,201
2021-10-10 00:45:23.331,POST,71,201
2021-10-10 00:45:23.402,POST,142,201
2021-10-10 00:45:23.544,POST,71,201
2021-10-10 00:45:23.616,POST,72,201
2021-10-10 00:45:23.688,POST,72,201
2021-10-10 00:45:23.76,POST,72,201
2021-10-10 00:45:23.832,POST,71,201
2021-10-10 00:45:23.903,POST,71,201
2021-10-10 00:45:23.974,POST,70,201
2021-10-10 00:45:24.044,POST,71,201
2021-10-10 00:45:24.116,POST,71,201
2021-10-10 00:45:24.187,POST,73,201
2021-10-10 00:45:24.26,POST,72,201
2021-10-10 00:45:24.333,POST,71,201
2021-10-10 00:45:24.405,POST,71,201
2021-10-10 00:45:24.476,POST,72,201
2021-10-10 00:45:24.548,POST,71,201
2021-10-10 00:45:24.619,POST,72,201
2021-10-10 00:45:24.691,POST,71,201
2021-10-10 00:45:24.763,POST,71,201
2021-10-10 00:45:24.834,POST,71,201
2021-10-10 00:45:24.905,POST,72,201
2021-10-10 00:45:24.977,POST,72,201
2021-10-10 00:45:25.05,POST,71,201
2021-10-10 00:45:25.121,POST,72,201
2021-10-10 00:45:25.193,POST,71,201
2021-10-10 00:45:16.188,POST,173,201
2021-10-10 00:45:16.371,POST,90,201
2021-10-10 00:45:16.461,POST,75,201
2021-10-10 00:45:16.536,POST,71,201
2021-10-10 00:45:16.607,POST,70,201
2021-10-10 00:45:16.677,POST,73,201
2021-10-10 00:45:16.75,POST,70,201
2021-10-10 00:45:16.82,POST,73,201
2021-10-10 00:45:16.893,POST,71,201
2021-10-10 00:45:16.964,POST,72,201
2021-10-10 00:45:17.036,POST,72,201
2021-10-10 00:45:17.108,POST,73,201
2021-10-10 00:45:17.181,POST,70,201
2021-10-10 00:45:17.251,POST,70,201
2021-10-10 00:45:17.321,POST,72,201
2021-10-10 00:45:17.393,POST,71,201
2021-10-10 00:45:17.464,POST,71,201
2021-10-10 00:45:17.535,POST,73,201
2021-10-10 00:45:17.608,POST,69,201
2021-10-10 00:45:17.678,POST,69,201
2021-10-10 00:45:17.747,POST,71,201
2021-10-10 00:45:17.818,POST,70,201
2021-10-10 00:45:17.888,POST,71,201
2021-10-10 00:45:17.959,POST,71,201
2021-10-10 00:45:18.03,POST,70,201
2021-10-10 00:45:18.1,POST,70,201
2021-10-10 00:45:18.17,POST,71,201
2021-10-10 00:45:18.241,POST,70,201
2021-10-10 00:45:18.311,POST,70,201
2021-10-10 00:45:18.381,POST,71,201
2021-10-10 00:45:18.452,POST,70,201
2021-10-10 00:45:18.522,POST,71,201
2021-10-10 00:45:18.594,POST,70,201
2021-10-10 00:45:18.664,POST,70,201
2021-10-10 00:45:18.734,POST,70,201
2021-10-10 00:45:18.805,POST,69,201
2021-10-10 00:45:18.874,POST,71,201
2021-10-10 00:45:18.945,POST,70,201
2021-10-10 00:45:19.015,POST,71,201
2021-10-10 00:45:19.086,POST,70,201
2021-10-10 00:45:19.156,POST,71,201
2021-10-10 00:45:19.227,POST,70,201
2021-10-10 00:45:19.297,POST,72,201
2021-10-10 00:45:19.369,POST,70,201
2021-10-10 00:45:19.439,POST,71,201
2021-10-10 00:45:19.51,POST,71,201
2021-10-10 00:45:19.581,POST,71,201
2021-10-10 00:45:19.653,POST,70,201
2021-10-10 00:45:19.723,POST,71,201
2021-10-10 00:45:19.794,POST,71,201
2021-10-10 00:45:19.865,POST,73,201
2021-10-10 00:45:19.938,POST,70,201
2021-10-10 00:45:20.008,POST,71,201
2021-10-10 00:45:20.079,POST,70,201
2021-10-10 00:45:20.149,POST,70,201
2021-10-10 00:45:20.219,POST,70,201
2021-10-10 00:45:20.289,POST,71,201
2021-10-10 00:45:20.36,POST,72,201
2021-10-10 00:45:20.432,POST,73,201
2021-10-10 00:45:20.505,POST,75,201
2021-10-10 00:45:20.581,POST,72,201
2021-10-10 00:45:20.653,POST,71,201
2021-10-10 00:45:20.724,POST,74,201
2021-10-10 00:45:20.799,POST,70,201
2021-10-10 00:45:20.869,POST,69,201
2021-10-10 00:45:20.938,POST,71,201
2021-10-10 00:45:21.009,POST,73,201
2021-10-10 00:45:21.082,POST,72,201
2021-10-10 00:45:21.155,POST,71,201
2021-10-10 00:45:21.226,POST,70,201
2021-10-10 00:45:21.296,POST,71,201
2021-10-10 00:45:21.367,POST,69,201
2021-10-10 00:45:21.436,POST,71,201
2021-10-10 00:45:21.507,POST,72,201
2021-10-10 00:45:21.58,POST,70,201
2021-10-10 00:45:21.65,POST,70,201
2021-10-10 00:45:21.72,POST,72,201
2021-10-10 00:45:21.792,POST,71,201
2021-10-10 00:45:21.863,POST,71,201
2021-10-10 00:45:21.934,POST,73,201
2021-10-10 00:45:22.007,POST,72,201
2021-10-10 00:45:22.079,POST,70,201
2021-10-10 00:45:22.149,POST,70,201
2021-10-10 00:45:22.219,POST,71,201
2021-10-10 00:45:22.29,POST,75,201
2021-10-10 00:45:22.365,POST,71,201
2021-10-10 00:45:22.436,POST,73,201
2021-10-10 00:45:22.509,POST,72,201
2021-10-10 00:45:22.581,POST,72,201
2021-10-10 00:45:22.654,POST,71,201
2021-10-10 00:45:22.726,POST,70,201
2021-10-10 00:45:22.796,POST,73,201
2021-10-10 00:45:22.869,POST,71,201
2021-10-10 00:45:22.94,POST,69,201
2021-10-10 00:45:23.009,POST,70,201
2021-10-10 00:45:23.079,POST,71,201
2021-10-10 00:45:23.15,POST,71,201
2021-10-10 00:45:23.221,POST,70,201
2021-10-10 00:45:23.291,POST,70,201
2021-10-10 00:45:23.361,POST,70,201
2021-10-10 00:45:23.431,POST,144,201
2021-10-10 00:45:23.575,POST,70,201
2021-10-10 00:45:23.645,POST,71,201
2021-10-10 00:45:23.716,POST,72,201
2021-10-10 00:45:23.788,POST,70,201
2021-10-10 00:45:23.858,POST,70,201
2021-10-10 00:45:23.928,POST,71,201
